workflow,quality_level,query_count,sample_count,full_assignment_signature,full_objective_value,full_expected_cost,full_avg_latency,full_p95_latency,full_status,decomp_assignment_signature,decomp_objective_value,decomp_expected_cost,decomp_avg_latency,decomp_p95_latency,decomp_status,same_assignment,objective_abs_diff,expected_cost_abs_diff,avg_latency_abs_diff,p95_latency_abs_diff
workflow2,Q2,100,5,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_westus2_q2""], [""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.892107973694509,3.8921079736945257,54.766557959971294,85.20485015734937,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_westeurope_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.892108179008844,3.89210817900886,57.28805044945653,88.3241788520794,OPTIMAL,False,2.0531433531090215e-07,2.0531433442272373e-07,2.521492489485233,3.1193286947300294
workflow2,Q2,100,10,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.887399502809002,3.887399502808981,59.40376299305309,98.00929537750504,OPTIMAL,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_eu-central-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.887399266051162,3.88739926605114,60.14515754259191,98.00929537750504,OPTIMAL,False,2.367578399997683e-07,2.3675784088794671e-07,0.7413945495388177,0.0
workflow2,Q2,100,20,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.887304756014472,3.8873047560144816,59.47962221929848,99.26932799849928,OPTIMAL,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_eu-central-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.887304515335272,3.8873045153352943,60.21576603102198,99.26932799849928,OPTIMAL,False,2.406791996811819e-07,2.40679187246684e-07,0.7361438117235011,0.0
workflow2,Q2,250,5,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_eu-central-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.8698651781896514,3.869865178189658,56.33568187806562,87.42246578360127,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_eu-central-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.8698651781896514,3.869865178189658,56.33568187806562,87.42246578360127,OPTIMAL,True,0.0,0.0,0.0,0.0
workflow2,Q2,250,10,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_southeastasia_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.870082642324298,3.870082642324308,59.924531084337225,91.88356010530474,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_eu-central-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.870083121766772,3.870083121766785,59.28172780565862,91.03908269080492,OPTIMAL,False,4.794424737220027e-07,4.794424768306271e-07,0.6428032786786062,0.8444774144998206
workflow2,Q2,250,20,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.869642637666237,3.8696426376662,54.264325804873145,84.7581442815209,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_southeastasia_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.869641700318787,3.869641700318756,59.71098083565084,91.4337019576846,OPTIMAL,False,9.373474498808321e-07,9.373474441076723e-07,5.446655030777691,6.675557676163706
workflow2,Q2,500,5,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.8561356281056,3.856135628105581,56.48037484699464,87.77177814040132,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_westus2_q2""], [""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.856135668001576,3.856135668001564,54.75286368558009,85.62568324649601,OPTIMAL,False,3.989597585629667e-08,3.989598296172403e-08,1.7275111614145544,2.146094893905314
workflow2,Q2,500,10,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_southeastasia_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.855147012031371,3.855147012031375,57.507017185738825,89.00857539640484,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.8551468748532822,3.855146874853309,54.11589550340472,85.1275323462653,OPTIMAL,False,1.3717808888813465e-07,1.3717806623958495e-07,3.391121682334102,3.8810430501395388
workflow2,Q2,500,20,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_eu-central-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_eastus_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.855233653681221,3.855233653681261,58.61348685976128,90.32094337906877,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_westus2_q2""], [""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.855234633194661,3.855234633194644,54.02092977005108,85.00246032664114,OPTIMAL,False,9.79513440135804e-07,9.795133832923852e-07,4.592557089710198,5.318483052427624
workflow2,Q2,1000,10,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_azure_eastus_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_eastus_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.837904534961668,3.837904534961631,59.58280529000056,92.20454542946054,OPTIMAL,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_azure_westus2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_eastus_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",3.8379052416697848,3.837905241669733,59.62640180255855,92.25564434855936,OPTIMAL,False,7.067081169154221e-07,7.06708101816389e-07,0.0435965125579898,0.051098919098819806
